,favorites,language,polarity,retweets,text
0,0,en,0.0,0,What is Cryptoeconomics The Ultimate Beginners Guide Crypto Ethereum
1,0,en,0.0,0,These assets are seeing a jump in tweets ArtificialIntelligence Litecoin Blockchain ETH
2,0,en,0.0,0,What is BlockChain fintech CryptoCurrency AI ML IoT IoE Bitcoin Crypto BigData DLT CyberSecurity BTC
3,0,en,0.125,0,VRC LAST 3 PUMPS HAPPENED AT EXACTLY 1 PM NETHERLANDS TIME ZONE WHICH MEANS IF THIS FOLLOWS THE TREND THE PUM
4,0,en,0.0,0,I think trust lines require an 5XRP if you need to set up a BTC or ETH funding
5,0,en,0.25,0,Bitcoin News Goodbye Ethereum Kik Plans to Move Its ICO Tokens to Stellar Kik founder Ted Livingston announced
8,0,en,0.6000000000000001,0,That s amazing Bitcoin Ethereum Litecoin and Monero
10,0,en,0.2,1,ETHUSD ENDS THE DAY INDECISIVE Sentiment Very bullish ETHUSD ETH Ether Etherum
11,0,en,0.2,0,ETHUSD ENDS THE DAY INDECISIVE Sentiment Very bullish ETHUSD ETH Ether Etherum
12,0,en,0.21428571428571427,0,Banks tap Ethereum smart contracts for MiFID II compliance
13,0,en,0.21428571428571427,0,Banks tap Ethereum smart contracts for MiFID II compliance cryptocurrency altcoins ico
14,0,en,0.0,0,ICO News Recent ICO Kin to Move Away From Ethereum bitcoin btc ico
15,0,en,0.25,0,Goodbye Ethereum Kik Plans to Move Its ICO Tokens to Stellar
16,0,en,0.17532467532467533,0,New post Banks tap Ethereum smart contracts for MiFID II compliance has been published on Crypto
17,0,en,0.0,0,Trendercoin is now listed on TDC Trendercoin BTC ETH Crypto IDEX
18,0,en,0.0,0,ethereum Azarenkas ranking has dropped to No 210 blockchain
19,0,en,0.2,0,ethereum How much does 100mg charm actigall blockchain
20,0,en,0.0,0,ethereum Buy oxytrol from shop blockchain
21,0,en,-0.5,0,ethereum Where to find killing progesterone in canada price for guilty progeffik starter pac
22,0,en,0.0,0,What are Ethereum Nodes And Sharding
24,0,en,0.25,0,News Update Goodbye Ethereum Kik Plans to Move Its ICO Tokens to Stellar Kik founder Ted Livingston announced on
25,1,en,0.0,0,Crypto Watch TRON TRX Price Surges Over 500 In A Week Outperforming BTC LTC And ETH You ve seen the big mo
26,0,en,0.0,0,Wallet is activated and trustline set ether is still in limbo
27,0,en,0.0,0,And ethereum is just as Earth shattering an innovation as slap bracelets and maybe fidget spinners
