,favorites,language,polarity,retweets,text
0,0,en,0.5,0,Would love your thoughts on LTC Nic
1,0,en,-0.05,0,AXA Equitable Provides Long Term Care Protection Tips in Honor of National Long Term Care Awareness Month
4,0,en,0.2857142857142857,0,We can hope but it s a bear market right now They want to buy up your cheep LTC
5,0,en,-0.07777777777777779,0,Just like Litecoin when they re done playing with Ripple it will go back down When
6,0,en,0.0,0,Litecoin LTC Price 279 33 Change in 1h 1 32 Market cap 15 169 467 973 00 Ranking 5 Litecoin LTC
7,0,en,0.0,0,Bitcoin Ethereum Ripple Bitcoin Cash Litecoin Dash NEM NEO BitConnect Monero y otras
8,0,en,0.0,0,If ya not payin in Litecoin I don t wanna work
9,0,en,0.0,0,Is there a platform that you can short litecoin bitecoin crypto eth ltc btc coinbase cob cobinhood robinhood stocks
10,0,en,0.0,0,The heat is on StephenPetith Oceaneer Advisor Savetheocean Sovereignperson Business
11,0,en,0.0,0,Last litecoin price on bitstamp 273 8
12,0,en,0.1,0,LTC Real Time Price 1 Litecoin 283 80 USD GDAX Follow us for regular updates litecoin LTC
13,1,en,0.3,0,LTC is now worth 279 27 1 22 LTC
14,0,en,0.0,0,Crypto Watch TRON TRX Price Surges Over 500 In A Week Outperforming Source r T
15,0,en,0.0,0,Cotizaciones al 14 12 2017 09 00 PM Bitcoin BTC 92 341 131 Ethereum ETH 3 875 695 Litecoin LTC 1 555 857 BTC Cash BCH 10 882 220
16,0,en,0.4,0,GET 10 00 FREE with 100 00 purchase Coinbase is where I trade Cryptocurrency Bitcoin Ethereum amp Litecoin
17,0,en,-0.05000000000000002,0,15 min RSI Signals BTC GAME 37 91 IOP SNT XRP BYC MUE UNB FUN TRST BTS MEME EXCL NMR XLM LTC SNGLS XMR EDG GUP
19,1,en,0.25,0,Now is a much better time to buy if you re looking to buy and hold The next bitcoin futures happen nex
20,0,en,-0.039583333333333345,0,Saw LTC tumbling hard thought I could quickly sell and then buy back in and make a few hun
21,1,en,0.0,0,Did you try bittrex Maybe buy litecoin on coinbase and send litecoin to bitt
23,0,en,-0.25,0,team I m waiting for a very similar failed transaction LTC to XVG
25,0,en,0.0,0,Send me a pm with inside info for ltc
26,1,en,0.6428571428571428,0,I predict that right now is the best time to buy litecoin Come this time tomorrow it is going to the moon
27,0,en,1.0,0,Probably my best tweet ETC ETH BTC LTC DGB
28,1,en,0.0,0,withdrew litecoin from my vault now waited 48 hours Now its not clearing the funds Help
29,0,en,0.0,0,Cryptocurrencies ETH LTC DASH XMR ZCASH
30,1,en,0.37142857142857144,0,Really wish for more volume in litecoin right now Trying to make some more money
31,0,en,0.0,0,Valores dolar R 3 3372 BITCOIN MCDTBC R 58999 12345000 BITCOIN BLCHAIN R 54930 09 LITECOIN MCDTBC R 1097 77777000
32,0,en,-0.05,0,Long term Hold position u2026 LTCUSD
33,0,en,0.0,0,If LTC keeps moving up we might see the following targets Target 1 450 Target 2 475 Target 3 500 Target 4
34,0,en,0.2857142857142857,0,Yeah believe me you are doing the right thing investing in crypto Litecoin will moon
35,0,en,0.0,0,You haven t had a give away for that 1 LTC yet that you had said you would do a while back
36,0,en,0.3,0,alright I just invested 100 worth of BTC ETH amp LTC
37,0,en,0.0,0,Buy and hold at dip
38,2,en,0.35714285714285715,0,io We need people to start using litecoin for most transactions to take a large part of the load off BT
40,2,en,0.0,0,Litecoin
42,0,en,0.2681818181818182,1,Join the AllStarTradingTeam NOW for our FREE live Crypto Q amp A Bring your questions BTC LTC ETH Ripple XRP
43,0,en,0.6,0,I liked a video Ripple Litecoin Bitcoin amp Ether Lets Go
44,0,en,0.9099999999999999,0,LTC very good buy now to 600USD
45,0,en,0.0,0,ltc breaking out on the 1 min charts
46,0,en,0.45,1,If you have difficulties to withdraw in Kraken and if you have service non available try many times and it will w
47,0,en,0.07777777777777779,0,Come on I need my Litecoin to go up Not down
48,2,en,0.0,0,Pray for the niggas that use litecoin
49,3,en,0.0,0,All you bears Piss off your not made for bull runs litecoin bitcoin
50,0,en,-0.7142857142857143,0,So sick Litecoin that s what profits look like cryptocurrency
51,0,en,0.0,0,Coming soon Litecoin Litecoinmatters
52,0,en,0.0,0,What your 1 HODL for 2018 Bitcoin Ethereum Litecoin BticoinCash Ripple Dash IOTA
53,1,en,5.551115123125783e-17,0,des Ehhhh Do it yourself and It s not so bad Also it feels really really good Jus
54,0,en,0.0,0,Current LTC price 279 27 Buy on Binance with 50 discount trading fee
55,0,en,0.0,0,Litecoin started to take off because it s one of the 3 currency exchanges on coinbase Wh
56,0,en,0.10714285714285714,0,Hold DO NOT TAKE SUCH A LARGE LOSS ltc will pump again infact take a look at the 1min c
57,1,en,0.06153846153846154,0,is Litecoin ready to run Broke through 285 Are the bulls being let loose
59,0,en,0.0,0,BTC ETH XVG NEO LTC SUB
60,0,en,0.0,0,Beatles are the BTC to the Yardbirds LTC
61,2,en,0.39285714285714285,0,Shoutout to litecoin for peaking right as I bought more of it
62,0,en,-0.4,0,LTC losses comes with the game
64,1,en,-0.1,0,LWbTqK84C11ZsR2mg3vxJhi5WFFXkbqoKj lets see a LTC surge in the next few hours
65,0,en,0.0,0,Litecoin LTC Current Price 274 072 1 Hour 1 12 24 Hours 10 01 7 Days 182 0 ltc litecoin
67,0,en,0.1,0,Thank you but I ll stick with decentralized Litecoin for fast and low fees
68,0,en,-0.125,0,Finally caved bought ADA and REQ LTC has fallen might exchange not sure yet
70,0,en,0.0,0,Current BTC price 16578 80 Buy on Binance with 50 discount trading fee
71,0,en,0.0,0,Take that money and invest it into LiteCoin
72,0,en,-0.05,0,As long as they don t touch my Litecoin
73,2,en,0.0,1,Received my 18k Gold Ledger Nano from the I would like to thank and for
74,0,en,0.21666666666666665,0,Strongly believe ppl will sell off xrp gains and return back to ltc
75,0,en,-0.4,0,Fuck you I m just trying to verify my ID before LTC skyrockets this weekend
76,2,en,0.0,0,Every time we log in a fee of 005 LTC NetNeutrality BTC ETH
79,0,en,0.0,0,I made a buy on litecoin and the transaction is still pending yet you guys took the money out of my acco
80,0,en,0.36363636363636365,0,LTC needs more positive media attention
81,0,en,-0.8,0,haters gonna hate Add eth amp LTC to square as well
82,1,en,0.0,0,CryptoCompare LiteCoin price changed 2 30 to 279 94 litecoin
83,0,en,0.0,0,LITECOIN MANIACS XPR STR ID RIPPLR JUNIO BUILDING BLOCK CHAIN WITH IBM FOR CROSS BOARDER PAYMENTS OPEN ACCTS AT
84,0,en,0.30416666666666664,0,LTC and BTC have I think ETH s still got a little more catching up to do
85,9,en,0.6000000000000001,3,The bear bull fight at 283 on litecoin is amazing to watch
86,0,en,0.0,0,What about LTC should I sell or hold i m holding since 420 now it s 270 Will it go up again
87,0,en,0.5,0,All you need to know about the top 5 cryptocurrencies
88,0,en,0.006249999999999999,0,LTC 5H I believe we still need to see a minor 5up in major 1up
89,0,en,0.0,0,LTC to GBP price 206 08 litecoin ltc cryptocurrency
90,0,en,0.0,0,LTC to BTC price B0 016684 litecoin ltc cryptocurrency
91,0,en,0.0,0,LTC to USD price 276 80 litecoin ltc cryptocurrency
93,0,en,0.0,0,CaptainCrypto predicts a LTC correction back to the 240 250 USD neighborhood before continuing its grown trend crypto BTC realmoney
94,1,en,0.0,0,Omg don t bring up bitcoins I was talked into buying litecoin two days ago and it crashed I m lo
95,0,en,0.2,0,Our wallet is ready for 19 months of lottery prices Don t miss the announcement this Saturday follow us and retwe
96,0,en,0.5,0,Would love your thoughts on LTC Nic
97,0,en,-0.05,0,AXA Equitable Provides Long Term Care Protection Tips in Honor of National Long Term Care Awareness Month
100,0,en,0.2857142857142857,0,We can hope but it s a bear market right now They want to buy up your cheep LTC
101,0,en,-0.07777777777777779,0,Just like Litecoin when they re done playing with Ripple it will go back down When
102,0,en,0.0,0,Litecoin LTC Price 279 33 Change in 1h 1 32 Market cap 15 169 467 973 00 Ranking 5 Litecoin LTC
103,0,en,0.0,0,Bitcoin Ethereum Ripple Bitcoin Cash Litecoin Dash NEM NEO BitConnect Monero y otras
104,0,en,0.0,0,If ya not payin in Litecoin I don t wanna work
105,0,en,0.0,0,Is there a platform that you can short litecoin bitecoin crypto eth ltc btc coinbase cob cobinhood robinhood stocks
106,0,en,0.0,0,The heat is on StephenPetith Oceaneer Advisor Savetheocean Sovereignperson Business
107,0,en,0.0,0,Last litecoin price on bitstamp 273 8
108,0,en,0.1,0,LTC Real Time Price 1 Litecoin 283 80 USD GDAX Follow us for regular updates litecoin LTC
109,1,en,0.3,0,LTC is now worth 279 27 1 22 LTC
110,0,en,0.0,0,Crypto Watch TRON TRX Price Surges Over 500 In A Week Outperforming Source r T
111,0,en,0.0,0,Cotizaciones al 14 12 2017 09 00 PM Bitcoin BTC 92 341 131 Ethereum ETH 3 875 695 Litecoin LTC 1 555 857 BTC Cash BCH 10 882 220
112,0,en,0.4,0,GET 10 00 FREE with 100 00 purchase Coinbase is where I trade Cryptocurrency Bitcoin Ethereum amp Litecoin
113,0,en,-0.05000000000000002,0,15 min RSI Signals BTC GAME 37 91 IOP SNT XRP BYC MUE UNB FUN TRST BTS MEME EXCL NMR XLM LTC SNGLS XMR EDG GUP
115,1,en,0.25,0,Now is a much better time to buy if you re looking to buy and hold The next bitcoin futures happen nex
116,0,en,-0.039583333333333345,0,Saw LTC tumbling hard thought I could quickly sell and then buy back in and make a few hun
117,1,en,0.0,0,Did you try bittrex Maybe buy litecoin on coinbase and send litecoin to bitt
119,0,en,-0.25,0,team I m waiting for a very similar failed transaction LTC to XVG
121,0,en,0.0,0,Send me a pm with inside info for ltc
122,1,en,0.6428571428571428,0,I predict that right now is the best time to buy litecoin Come this time tomorrow it is going to the moon
123,0,en,1.0,0,Probably my best tweet ETC ETH BTC LTC DGB
124,1,en,0.0,0,withdrew litecoin from my vault now waited 48 hours Now its not clearing the funds Help
125,0,en,0.0,1,Cryptocurrencies ETH LTC DASH XMR ZCASH
126,1,en,0.37142857142857144,0,Really wish for more volume in litecoin right now Trying to make some more money
127,0,en,0.0,0,Valores dolar R 3 3372 BITCOIN MCDTBC R 58999 12345000 BITCOIN BLCHAIN R 54930 09 LITECOIN MCDTBC R 1097 77777000
128,0,en,-0.05,0,Long term Hold position u2026 LTCUSD
129,0,en,0.0,0,If LTC keeps moving up we might see the following targets Target 1 450 Target 2 475 Target 3 500 Target 4
130,0,en,0.2857142857142857,0,Yeah believe me you are doing the right thing investing in crypto Litecoin will moon
131,0,en,0.0,0,You haven t had a give away for that 1 LTC yet that you had said you would do a while back
132,0,en,0.3,0,alright I just invested 100 worth of BTC ETH amp LTC
133,0,en,0.0,0,Buy and hold at dip
134,2,en,0.35714285714285715,0,io We need people to start using litecoin for most transactions to take a large part of the load off BT
136,2,en,0.0,0,Litecoin
138,0,en,0.2681818181818182,1,Join the AllStarTradingTeam NOW for our FREE live Crypto Q amp A Bring your questions BTC LTC ETH Ripple XRP
139,0,en,0.6,0,I liked a video Ripple Litecoin Bitcoin amp Ether Lets Go
140,0,en,0.9099999999999999,0,LTC very good buy now to 600USD
141,0,en,0.0,0,ltc breaking out on the 1 min charts
142,0,en,0.45,1,If you have difficulties to withdraw in Kraken and if you have service non available try many times and it will w
143,0,en,0.07777777777777779,0,Come on I need my Litecoin to go up Not down
144,2,en,0.0,0,Pray for the niggas that use litecoin
145,3,en,0.0,0,All you bears Piss off your not made for bull runs litecoin bitcoin
146,0,en,-0.7142857142857143,0,So sick Litecoin that s what profits look like cryptocurrency
147,0,en,0.0,0,Coming soon Litecoin Litecoinmatters
148,0,en,0.0,0,What your 1 HODL for 2018 Bitcoin Ethereum Litecoin BticoinCash Ripple Dash IOTA
149,1,en,5.551115123125783e-17,0,des Ehhhh Do it yourself and It s not so bad Also it feels really really good Jus
150,0,en,0.0,0,Current LTC price 279 27 Buy on Binance with 50 discount trading fee
151,0,en,0.0,0,Litecoin started to take off because it s one of the 3 currency exchanges on coinbase Wh
152,0,en,0.10714285714285714,0,Hold DO NOT TAKE SUCH A LARGE LOSS ltc will pump again infact take a look at the 1min c
153,1,en,0.06153846153846154,0,is Litecoin ready to run Broke through 285 Are the bulls being let loose
155,0,en,0.0,0,BTC ETH XVG NEO LTC SUB
156,0,en,0.0,0,Beatles are the BTC to the Yardbirds LTC
157,2,en,0.39285714285714285,0,Shoutout to litecoin for peaking right as I bought more of it
158,0,en,-0.4,0,LTC losses comes with the game
160,1,en,-0.1,0,LWbTqK84C11ZsR2mg3vxJhi5WFFXkbqoKj lets see a LTC surge in the next few hours
161,0,en,0.0,0,Litecoin LTC Current Price 274 072 1 Hour 1 12 24 Hours 10 01 7 Days 182 0 ltc litecoin
163,0,en,0.1,0,Thank you but I ll stick with decentralized Litecoin for fast and low fees
164,0,en,-0.125,0,Finally caved bought ADA and REQ LTC has fallen might exchange not sure yet
166,0,en,0.0,0,Current BTC price 16578 80 Buy on Binance with 50 discount trading fee
167,0,en,0.0,0,Take that money and invest it into LiteCoin
168,0,en,-0.05,0,As long as they don t touch my Litecoin
169,2,en,0.0,1,Received my 18k Gold Ledger Nano from the I would like to thank and for
170,0,en,0.21666666666666665,0,Strongly believe ppl will sell off xrp gains and return back to ltc
171,0,en,-0.4,0,Fuck you I m just trying to verify my ID before LTC skyrockets this weekend
172,2,en,0.0,0,Every time we log in a fee of 005 LTC NetNeutrality BTC ETH
175,0,en,0.0,0,I made a buy on litecoin and the transaction is still pending yet you guys took the money out of my acco
176,0,en,0.36363636363636365,0,LTC needs more positive media attention
177,0,en,-0.8,0,haters gonna hate Add eth amp LTC to square as well
178,1,en,0.0,0,CryptoCompare LiteCoin price changed 2 30 to 279 94 litecoin
179,0,en,0.0,0,LITECOIN MANIACS XPR STR ID RIPPLR JUNIO BUILDING BLOCK CHAIN WITH IBM FOR CROSS BOARDER PAYMENTS OPEN ACCTS AT
180,0,en,0.30416666666666664,0,LTC and BTC have I think ETH s still got a little more catching up to do
181,9,en,0.6000000000000001,3,The bear bull fight at 283 on litecoin is amazing to watch
182,0,en,0.0,0,What about LTC should I sell or hold i m holding since 420 now it s 270 Will it go up again
183,0,en,0.5,0,All you need to know about the top 5 cryptocurrencies
184,0,en,0.006249999999999999,0,LTC 5H I believe we still need to see a minor 5up in major 1up
185,0,en,0.0,0,LTC to GBP price 206 08 litecoin ltc cryptocurrency
186,0,en,0.0,0,LTC to BTC price B0 016684 litecoin ltc cryptocurrency
187,0,en,0.0,0,LTC to USD price 276 80 litecoin ltc cryptocurrency
189,0,en,0.0,0,CaptainCrypto predicts a LTC correction back to the 240 250 USD neighborhood before continuing its grown trend crypto BTC realmoney
190,0,en,0.2,0,Our wallet is ready for 19 months of lottery prices Don t miss the announcement this Saturday follow us and retwe
191,0,en,0.5,0,Would love your thoughts on LTC Nic
192,0,en,-0.05,0,AXA Equitable Provides Long Term Care Protection Tips in Honor of National Long Term Care Awareness Month
195,0,en,0.2857142857142857,0,We can hope but it s a bear market right now They want to buy up your cheep LTC
196,0,en,-0.07777777777777779,0,Just like Litecoin when they re done playing with Ripple it will go back down When
197,0,en,0.0,0,Litecoin LTC Price 279 33 Change in 1h 1 32 Market cap 15 169 467 973 00 Ranking 5 Litecoin LTC
198,0,en,0.0,0,Bitcoin Ethereum Ripple Bitcoin Cash Litecoin Dash NEM NEO BitConnect Monero y otras
199,0,en,0.0,0,If ya not payin in Litecoin I don t wanna work
200,0,en,0.0,0,Is there a platform that you can short litecoin bitecoin crypto eth ltc btc coinbase cob cobinhood robinhood stocks
201,0,en,0.0,0,The heat is on StephenPetith Oceaneer Advisor Savetheocean Sovereignperson Business
202,0,en,0.0,0,Last litecoin price on bitstamp 273 8
203,0,en,0.1,0,LTC Real Time Price 1 Litecoin 283 80 USD GDAX Follow us for regular updates litecoin LTC
204,1,en,0.3,0,LTC is now worth 279 27 1 22 LTC
205,0,en,0.0,0,Crypto Watch TRON TRX Price Surges Over 500 In A Week Outperforming Source r T
